AAPL "Apple Inc. Common Stock"
ABBV "AbbVie Inc. Common Stock"
ABT "Abbott Laboratories Common Stock"
AMZN "Amazon.com Inc. Common Stock"
ASML "ASML Holding N.V. New York Registry Shares"
AVGO "Broadcom Inc. Common Stock"
AZN "AstraZeneca PLC American Depositary Shares"
BABA "Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share"
BAC "Bank of America Corporation Common Stock"
CMCSA "Comcast Corporation Class A Common Stock"
CNI "Canadian National Railway Company Common Stock"
COST "Costco Wholesale Corporation Common Stock"
CSCO "Cisco Systems Inc. Common Stock (DE)"
CVX "Chevron Corporation Common Stock"
DIS "Walt Disney Company (The) Common Stock"
FB "Meta Platforms Inc. Class A Common Stock"
GOOG "Alphabet Inc. Class C Capital Stock"
GOOGL "Alphabet Inc. Class A Common Stock"
HD "Home Depot Inc. (The) Common Stock"
JNJ "Johnson & Johnson Common Stock"
JPM "JP Morgan Chase & Co. Common Stock"
KO "Coca-Cola Company (The) Common Stock"
LLY "Eli Lilly and Company Common Stock"
MA "Mastercard Incorporated Common Stock"
MRK "Merck & Company Inc. Common Stock (new)"
MSFT "Microsoft Corporation Common Stock"
NKE "Nike Inc. Common Stock"
NTES "NetEase Inc. American Depositary Shares"
NVDA "NVIDIA Corporation Common Stock"
NVO "Novo Nordisk A/S Common Stock"
ORCL "Oracle Corporation Common Stock"
PEP "PepsiCo Inc. Common Stock"
PFE "Pfizer Inc. Common Stock"
PG "Procter & Gamble Company (The) Common Stock"
SHEL "Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) "
TM "Toyota Motor Corporation Common Stock"
TMO "Thermo Fisher Scientific Inc Common Stock"
TSLA "Tesla Inc. Common Stock"
TSM "Taiwan Semiconductor Manufacturing Company Ltd."
UNH "UnitedHealth Group Incorporated Common Stock (DE)"
V "Visa Inc."
VFC "V.F. Corporation Common Stock"
VZ "Verizon Communications Inc. Common Stock"
WMT "Walmart Inc. Common Stock"
XOM "Exxon Mobil Corporation Common Stock"
